name,type,sectors,stages,geographies,min_cheque_gbp,max_cheque_gbp,website,notable_portfolio,description,sector_count,geo_count,stage_count
Draper Esprit,VC,"DeepTech, SaaS, FinTech, Cybersecurity","Series A, Series B, Series C+","Europe, UK",3000000,30000000,https://www.draperesprit.com,"Graphcore, Trustpilot, Perkbox, Ledger, Aircall",London-listed VC fund providing long-term capital to high-growth European technology companies.,4,2,3
Mosaic Ventures,VC,"SaaS, FinTech, MarketPlace, DeepTech","Series A, Series B","UK, Europe",2000000,15000000,https://www.mosaicventures.com,"Behavox, Tray.io, Sonder, Soldo",London Series A specialist backing enterprise software and marketplace companies in Europe.,4,2,2
Playfair Capital,VC,"SaaS, FinTech, DeepTech","Seed","UK",200000,1000000,https://www.playfaircapital.com,"Nexthink, Metapack, Ask Sutton, Phoebus",London seed fund providing first institutional capital to technical UK founders.,3,1,1
Crane Venture Partners,VC,"SaaS, FinTech, MarketPlace","Seed, Series A","UK, Europe",500000,5000000,https://www.crane.vc,"Paddle, Cuvva, Onfido, Fronted",Founder-led UK fund backing B2B software companies with exceptional product thinking.,3,2,2
Firstminute Capital,VC,"SaaS, FinTech, E-Commerce, MarketPlace","Seed, Series A","Europe, UK, Global",500000,5000000,https://www.firstminute.capital,"Wayve, Moonpig, Multiverse, Ankorstore",Global seed fund backed by world-class founders investing in the next generation of technology.,4,3,2
Forward Partners,VC,"E-Commerce, MarketPlace, SaaS","Seed, Series A","UK",200000,3000000,https://www.forwardpartners.com,"Appear Here, Halo, Spoke, Koru Kids",UK seed investor offering hands-on support to e-commerce and marketplace founders.,3,1,2
BGF,Growth Equity,"FinTech, SaaS, HealthTech, CleanTech, E-Commerce","Series B, Series C+, Growth","UK",3000000,15000000,https://www.bgf.co.uk,"Gousto, Pod Point, Pollen, Hunter Boot",UK's most active growth equity investor backing ambitious British businesses to scale.,5,1,3
Innovate UK,Government,"DeepTech, CleanTech, HealthTech, EdTech","Pre-Seed, Seed, Series A","UK",50000,2000000,https://www.ukri.org/councils/innovate-uk,"Sofar Ocean, Intelligent Energy, Mirriad",UK government innovation agency funding science and technology research and development.,4,1,3
British Business Bank,Government,"FinTech, SaaS, CleanTech, HealthTech","Seed, Series A, Series B","UK",100000,5000000,https://www.british-business-bank.co.uk,"Various UK SMEs via partner funds",UK government-owned business development bank supporting smaller business finance.,4,1,3
Notion Capital,VC,"SaaS, FinTech","Seed, Series A, Series B","Europe, UK",1000000,10000000,https://www.notion.vc,"Paddle, Brightpearl, MessageBird, Dealflo",European B2B SaaS specialist backing cloud software companies with network effects.,2,2,3
Augmentum Fintech,VC,"FinTech","Seed, Series A, Series B, Series C+","Europe, UK",1000000,20000000,https://www.augmentum.vc,"Tide, iwoca, Zopa, Wealthsimple, Interactive Brokers",London-listed fintech-only fund providing patient capital to financial services innovators.,1,2,4
Finch Capital,VC,"FinTech","Series A, Series B","Europe, UK",2000000,15000000,https://www.finchcapital.com,"Fourthline, Tokenize, Amiqus, Swave",Amsterdam and London fintech investor backing financial services transformation in Europe.,1,2,2
QED Investors,VC,"FinTech","Series A, Series B, Series C+","Global, UK, Europe",3000000,30000000,https://www.qedinvestors.com,"Credit Karma, Nubank, Klarna, Avant, SoFi",Global fintech specialist fund with deep expertise in lending and payments infrastructure.,1,3,3
Anthemis,VC,"FinTech","Seed, Series A, Series B","Global, UK, Europe",500000,20000000,https://www.anthemis.com,"Starling Bank, BankSimple, LearnVest, Betterment",Fintech-only investor combining venture capital with research and company-building capabilities.,1,3,3
Speedinvest,VC,"FinTech, SaaS, DeepTech, HealthTech","Seed, Series A","Europe, UK",250000,3000000,https://www.speedinvest.com,"GoStudent, Bitpanda, Travelperk, Luko",Vienna-based pan-European early-stage fund with dedicated sector expertise teams.,4,2,2
Cherry Ventures,VC,"SaaS, FinTech, MarketPlace","Seed, Series A","Europe, UK",500000,5000000,https://www.cherry.vc,"FlixBus, GetYourGuide, Homeday, Contentful",Berlin-based early-stage fund backing exceptional European founders from day one.,3,2,2
HV Capital,VC,"SaaS, FinTech, E-Commerce, MarketPlace","Series A, Series B, Series C+","Europe, UK",3000000,25000000,https://www.hvcapital.com,"Zalando, HomeToGo, FlixBus, About You",Munich and Berlin fund backing Europe's leading consumer internet and B2B platforms.,4,2,3
Fuel Ventures,VC,"SaaS, E-Commerce, MarketPlace, FinTech","Pre-Seed, Seed, Series A","UK",250000,3000000,https://www.fuel.ventures,"Elvie, Appear Here, Zoopla, Rated People",UK-focused early-stage fund backing B2C digital and marketplace business founders.,4,1,3
Hambro Perks,VC,"SaaS, FinTech, HealthTech, DeepTech","Seed, Series A, Series B","UK, Europe",500000,10000000,https://www.hambroperks.com,"Quantexa, Peak, Faculty AI, Smarterly",London growth investor backing technology companies across B2B enterprise and healthcare.,4,2,3
IQ Capital,VC,"DeepTech, SaaS, Cybersecurity","Seed, Series A, Series B","UK, Europe",500000,10000000,https://www.iqcapital.vc,"CMR Surgical, Featurespace, Oribi, Concirrus",Cambridge-based fund specialising in deep technology and engineering-led UK startups.,3,2,3
Lakestar,VC,"SaaS, FinTech, MarketPlace, DeepTech","Seed, Series A, Series B, Series C+","Europe, UK, Global",1000000,30000000,https://www.lakestar.com,"Airbnb, Skype, Spotify, Revolut, Komoot",Pan-European fund backing leading technology companies from early stage to IPO.,4,3,4
Nauta Capital,VC,"SaaS, MarketPlace, FinTech","Seed, Series A, Series B","Europe, UK",500000,8000000,https://www.nautacapital.com,"Typeform, Freepik, Kantox, Alquiler Seguro","European B2B software investor with offices in London, Barcelona, and Berlin.",3,2,3
Partech,VC,"SaaS, FinTech, DeepTech, E-Commerce, MarketPlace","Seed, Series A, Series B, Series C+","Europe, UK, Global",500000,50000000,https://www.partechpartners.com,"Deezer, Zenly, Swile, Tiendanube, Ynsect",Global technology investor with strong European and Africa presence across multiple sectors.,5,3,4
Samaipata,VC,"MarketPlace, E-Commerce, SaaS","Seed, Series A","Europe, UK",500000,5000000,https://www.samaipata.vc,"JobandTalent, Stuart, Wefarm, Clio",Madrid-based fund specialising in marketplace and platform businesses across Europe.,3,2,2
SFC Capital,VC,"SaaS, FinTech, E-Commerce, HealthTech","Pre-Seed, Seed","UK",50000,500000,https://www.sfccapital.com,"Phoebus Software, Barkibu, Spotta, Doctorlink",UK's most active SEIS and EIS specialist investing at pre-seed across multiple sectors.,4,1,2
Stride VC,VC,"SaaS, FinTech, MarketPlace","Seed, Series A","UK, Europe",250000,3000000,https://www.stride.vc,"Onto, Homeppl, Sano Genetics, Fable",UK early-stage fund focused on B2B SaaS and recurring-revenue software businesses.,3,2,2
Sussex Place Ventures,VC,"DeepTech, HealthTech, CleanTech","Pre-Seed, Seed, Series A","UK",100000,2000000,https://www.sussexplaceventures.com,"Various London Business School and Imperial spinouts",London Business School-affiliated investor backing science-led deep technology spinouts.,3,1,3
Talis Capital,VC,"SaaS, MarketPlace, FinTech, E-Commerce","Seed, Series A, Series B","UK, Europe, Global",500000,10000000,https://www.taliscapital.com,"Wolt, Kuda, Paysend, Marshmallow, Paddle",London global investor focused on consumer internet and financial services growth companies.,4,3,3
Venrex,VC,"SaaS, FinTech, E-Commerce, MarketPlace","Pre-Seed, Seed, Series A","UK, Europe",100000,2000000,https://www.venrex.com,"Elvie, Gousto, Cuvva, Skin + Me, Butternut Box",London boutique early-stage fund backing consumer brands and B2B software founders.,4,2,3
Ada Ventures,VC,"SaaS, HealthTech, EdTech, CleanTech, FinTech","Pre-Seed, Seed","UK, Europe",100000,1000000,https://www.ada.vc,"Propel, Mpower Financing, Visionflex, Kuda",UK fund backing underrepresented founders at pre-seed across high-impact technology sectors.,5,2,2
Creandum,VC,"SaaS, FinTech, E-Commerce, MarketPlace","Seed, Series A, Series B","Europe, UK, Global",1000000,15000000,https://www.creandum.com,"Spotify, Klarna, iZettle, Pleo, Epidemic Sound",Nordic early-stage fund famous for Spotify and Klarna backing high-growth European tech.,4,3,3
Felix Capital,VC,"E-Commerce, MarketPlace, SaaS, FinTech","Seed, Series A, Series B","Europe, UK, Global",1000000,20000000,https://www.felixcapital.com,"Farfetch, Peloton, Olaplex, Mirakl, Ledger","London creative economy investor backing lifestyle, commerce, and wellness technology brands.",4,3,3
Heartcore Capital,VC,"E-Commerce, MarketPlace, SaaS, FinTech","Seed, Series A, Series B","Europe, UK",500000,10000000,https://www.heartcore.com,"Vivino, Trustpilot, GetYourGuide, Pleo, Templafy",Copenhagen-based consumer internet fund investing across Scandinavia and European markets.,4,2,3
PROfounders Capital,VC,"SaaS, E-Commerce, MarketPlace, FinTech","Seed, Series A, Series B","Europe, UK",500000,8000000,https://www.profounderscapital.com,"Last.fm, Citymapper, Secret Escapes, Lovefilm, Shazam",Operator-led London fund backing experienced founders in consumer and enterprise technology.,4,2,3
Portage Capital Solutions,VC,FinTech,"Series C+, Growth","Global, UK, Europe",20000000,150000000,https://www.portagecap.com,"Wealthsimple, Lending Club, Brex, Nuvei",Growth-stage fintech specialist providing capital and expertise to scale financial technology leaders globally.,1,3,2
Motive Partners,VC,"FinTech, Enterprise Software","Series B, Series C+, Growth","Global, UK, Europe",25000000,200000000,https://www.motivepartners.com,"Avaloq, IHS Markit, Enfusion, Broadridge",Financial technology focused growth investor with deep operational expertise in financial services.,2,3,3
DST Global,VC,"FinTech, Consumer Apps & Social, E-Commerce (inventory-based)","Series C+, Growth","Global, UK",50000000,500000000,https://www.dst.global,"Spotify, Airbnb, Facebook, Twitter, Klarna, Revolut, Wise",Global late-stage technology investor famous for backing iconic consumer internet and fintech unicorns.,3,2,2
General Atlantic,Growth Equity,"FinTech, Enterprise Software (B2B), HealthTech / Digital Health","Series C+, Growth","Global, UK, Europe",50000000,500000000,https://www.generalatlantic.com,"Wise, GoCardless, Masterclass, Gympass, Slack",Global growth equity firm investing in high-growth companies across technology healthcare and consumer sectors.,3,3,2
Tiger Global Management,VC,"FinTech, Pure SaaS / Subscription Software, Consumer Apps & Social","Series B, Series C+, Growth","Global, UK",50000000,1000000000,https://www.tigerglobal.com,"Stripe, Revolut, Checkout.com, Nubank, Klarna",Prolific global technology investor known for rapid deployment and backing the world's fastest-growing internet companies.,3,2,3
Coatue Management,VC,"FinTech, AI / Machine Learning, Enterprise Software (B2B)","Series B, Series C+, Growth","Global, UK",30000000,500000000,https://www.coatue.com,"Instacart, Airtable, Snowflake, ByteDance, Chime",Technology-focused hedge fund turned VC backing transformative companies across AI fintech and enterprise software.,3,2,3
Ribbit Capital,VC,FinTech,"Series A, Series B, Growth","Global, UK, Europe",10000000,200000000,https://www.ribbitcap.com,"Robinhood, Revolut, Credit Karma, Brex, Coinbase",Fintech-only global investor backing ambitious founders reimagining financial services for consumers and businesses.,1,3,3
Andreessen Horowitz,VC,"FinTech, AI / Machine Learning, Cybersecurity","Series A, Series B, Growth","Global, UK",10000000,300000000,https://www.a16z.com,"Stripe, Coinbase, Airbnb, GitHub, Roblox, Lyft",Silicon Valley's most prominent venture firm backing bold founders building transformative technology companies.,3,2,3
Insight Partners,VC,"Pure SaaS / Subscription Software, FinTech, Cybersecurity","Series B, Series C+, Growth","Global, UK, Europe",20000000,500000000,https://www.insightpartners.com,"Wix, Twitter, Shopify, Veeva, Hootsuite, Darktrace",Global software-focused growth investor with over 500 portfolio companies spanning SaaS fintech and cybersecurity.,3,3,3
SoftBank Vision Fund,VC,"FinTech, AI / Machine Learning, Consumer Apps & Social","Series C+, Growth","Global, UK",100000000,2000000000,https://www.softbank.com/en/vision-fund,"WeWork, Revolut, OYO, Grab, DoorDash, ByteDance",Mega-fund deploying billions into AI-driven technology companies globally with a focus on market-defining platforms.,3,2,2
Evolution Equity Partners,VC,Cybersecurity,"Series B, Series C+, Growth","Global, UK, Europe",15000000,100000000,https://www.evolutionequity.com,"KnowBe4, Vectra AI, Cybereason, Hunters, Apiiro",Cybersecurity-dedicated growth investor backing next-generation security companies protecting enterprises globally.,1,3,3
NightDragon,VC,"Cybersecurity, Aerospace & Defence","Series B, Growth","Global, UK",20000000,150000000,https://www.nightdragon.com,"Darktrace, Cybereason, SAIC, SentinelOne, Ping Identity",Security and defence technology investor founded by industry veterans backing companies securing critical infrastructure.,2,2,2
ForgePoint Capital,VC,Cybersecurity,"Series A, Series B, Growth","Global, UK",10000000,75000000,https://www.forgepoint.com,"Auditboard, Verodin, Attivo, Respond, Nuvolo",Cybersecurity-specialist fund backing innovative security companies from growth stage through market leadership.,1,2,3
Ten Eleven Ventures,VC,Cybersecurity,"Series A, Series B, Growth","Global, UK",5000000,50000000,https://www.1011vc.com,"Recorded Future, Darktrace, Digital Guardian, Sqreen",The original cybersecurity-only venture fund deploying exclusively into information security companies worldwide.,1,2,3
Paladin Capital Group,VC,"Cybersecurity, Aerospace & Defence, AI / Machine Learning","Series A, Series B, Growth","Global, UK, Europe",5000000,100000000,https://www.paladincapgroup.com,"Cybereason, Inpixon, Semperis, Deep Instinct",Washington DC-based fund backing dual-use technology companies serving government and commercial cybersecurity markets.,3,3,3
CrowdStrike Falcon Fund,Corporate VC,Cybersecurity,"Seed, Series A, Series B","Global, UK",1000000,25000000,https://www.crowdstrike.com/falcon-fund,"Prelude Security, Claroty, Abnormal Security, Noname",CrowdStrike's strategic fund investing in cybersecurity startups that complement and extend the Falcon platform.,1,2,3
Ballistic Ventures,VC,Cybersecurity,"Seed, Series A, Series B","Global, UK",2000000,30000000,https://www.ballistic.vc,"Vali Cyber, Corelight, Dazz, Blink Ops",Cybersecurity-only early-stage fund founded by top security practitioners and former CISO operators.,1,2,3
General Catalyst,VC,"FinTech, Cybersecurity, AI / Machine Learning","Series B, Series C+, Growth","Global, UK",20000000,500000000,https://www.generalcatalyst.com,"Stripe, Airbnb, Snap, Gusto, Deliveroo, Lemonade",Global technology investor backing companies with enduring potential to transform industries over the long term.,3,2,3
Bessemer Venture Partners,VC,"FinTech, Cybersecurity, Pure SaaS / Subscription Software","Series A, Series B, Growth","Global, UK, Europe",5000000,200000000,https://www.bvp.com,"Twilio, LinkedIn, Shopify, Box, Yelp, Wix, Canva",One of the oldest and most successful venture firms globally backing cloud software fintech and consumer technology.,3,3,3
Battery Ventures,VC,"Pure SaaS / Subscription Software, FinTech, Cybersecurity","Series A, Series B, Growth","Global, UK, Europe",10000000,200000000,https://www.battery.com,"Groupon, Bazaarvoice, Sprinklr, Snap, SnapLogic",Boston and Silicon Valley fund backing market-leading enterprise software fintech and open-source technology companies.,3,3,3
Thoma Bravo,VC,"Cybersecurity, Pure SaaS / Subscription Software, Enterprise Software (B2B)","Series C+, Growth","Global, UK",100000000,5000000000,https://www.thomabravo.com,"Darktrace, SolarWinds, Proofpoint, Sophos, LogRhythm",Leading private equity firm focused exclusively on software and technology companies with a strong cybersecurity franchise.,3,2,2
Vista Equity Partners,Growth Equity,"Pure SaaS / Subscription Software, Enterprise Software (B2B), FinTech","Series C+, Growth","Global, UK",100000000,5000000000,https://www.vistaequitypartners.com,"Marketo, Solera, Ping Identity, Jamf, Cvent",Software-focused private equity with $100B+ AUM buying and building market-leading enterprise software businesses.,3,2,2
Francisco Partners,Growth Equity,"Cybersecurity, Enterprise Software (B2B), FinTech","Series C+, Growth","Global, UK",50000000,2000000000,https://www.franciscopartners.com,"GrubHub, Barracuda, Centrify, Forcepoint, WebMD",Technology-focused private equity investing in software cybersecurity and tech-enabled services businesses globally.,3,2,2
Warburg Pincus,Growth Equity,"FinTech, HealthTech / Digital Health, Enterprise Software (B2B)","Series C+, Growth","Global, UK, Europe",50000000,1000000000,https://www.warburgpincus.com,"Ant Financial, Bausch Health, Cushman & Wakefield, Duolingo",Global private equity firm with over 50 years backing growth-stage companies across technology healthcare and financial services.,3,3,2
Temasek,Sovereign Wealth,"FinTech, AI / Machine Learning, Consumer Apps & Social","Series C+, Growth","Global, UK",100000000,2000000000,https://www.temasek.com.sg,"Ant Financial, Stripe, Rivian, Impossible Foods, Byju's",Singapore sovereign wealth fund investing globally in technology financial services and consumer businesses of scale.,3,2,2
GIC,Sovereign Wealth,"FinTech, Enterprise Software (B2B), Consumer Apps & Social","Series C+, Growth","Global, UK",100000000,3000000000,https://www.gic.com.sg,"Grab, Sea, TransferWise, Flywire, Mimecast",Singapore's government investment corporation deploying long-term capital into global technology and financial services.,3,2,2
Ontario Teachers Pension Plan,Pension Fund,"FinTech, Enterprise Software (B2B), HealthTech / Digital Health","Series C+, Growth","Global, UK, Europe",50000000,1000000000,https://www.otpp.com,"Uber, Niantic, Thinking Capital, Peloton, Checkout.com",Canadian pension fund with a large direct venture portfolio backing high-growth technology and healthcare businesses.,3,3,2
Lightspeed Venture Partners,VC,"FinTech, AI / Machine Learning, Enterprise Software (B2B)","Series A, Series B, Growth","Global, UK, Europe",5000000,300000000,https://www.lsvp.com,"Snap, Affirm, Nutanix, MuleSoft, OYO, Ro, Carta",Global multi-stage fund backing exceptional founders disrupting large markets with transformative technology.,3,3,3
Accel Growth,VC,"Cybersecurity, FinTech, Pure SaaS / Subscription Software","Series B, Series C+, Growth","Global, UK, Europe",20000000,150000000,https://www.accel.com/growth,"CrowdStrike, Atlassian, Qualtrics, Tenable, Zendesk",Accel's dedicated growth vehicle backing proven technology leaders scaling to category dominance globally.,3,3,3
Index Ventures Growth,VC,"FinTech, Pure SaaS / Subscription Software, Consumer Apps & Social","Series B, Series C+, Growth","Global, UK, Europe",15000000,200000000,https://www.indexventures.com/growth,"Wise, Revolut, Figma, Notion, Webflow, dbt Labs",Index's growth-stage vehicle backing European and global technology champions from Series B through pre-IPO.,3,3,3
